Source,Scraped,Headline,Link
BBC Sport,2020/01/06,Carabao Cup - Manchester United v Manchester City: Ole Gunnar Soskjaer says Pep Guardiola's side have 'raised the bar',http://www.bbc.co.uk/sport/football/50953053
BBC Sport,2020/01/06,Australian Open: Air quality being monitored - organisers,http://www.bbc.co.uk/sport/tennis/51011258
BBC Sport,2020/01/06,ATP Cup: Novak Djokovic-inspired Serbia beat France to reach quarter-finals,http://www.bbc.co.uk/sport/tennis/51005204
BBC Sport,2020/01/06,Arsenal v Leeds United: Mikel Arteta says Gunners must become 'addicted' to winning,http://www.bbc.co.uk/sport/football/50976532
BBC Sport,2020/01/05,NFL play-offs: Vikings upset Saints in overtime in NFC wildcard game,http://www.bbc.co.uk/sport/american-football/51002844
Cricinfo,2020/01/06,"After perfect home summer, Tim Paine sets sights on 'mouth-watering' contest against India",http://www.espncricinfo.com/ci/content/story/1212287.html?CMP=OTC-RSS
Cricinfo,2020/01/06,Shane Warne to auction off baggy green to raise funds for bushfire relief,http://www.espncricinfo.com/ci/content/story/1212251.html?CMP=OTC-RSS
Cricinfo,2020/01/06,Nathan Lyon bags ten as Australia whitewash ordinary New Zealand,http://www.espncricinfo.com/ci/content/story/1212212.html?CMP=OTC-RSS
The Guardian,2020/01/06,Saracens salary cap fine will mean club losing players or wage reductions,https://www.theguardian.com/sport/2020/jan/06/exeter-will-give-share-saracens-cap-fine-charity-rugby-union
The Guardian,2020/01/06,Rugby union: talking points from the weekend’s Premiership action,https://www.theguardian.com/sport/2020/jan/06/rugby-union-talking-points-weekend-premiership
The Guardian,2020/01/05,Northampton snatch dramatic win at Wasps despite Tom Collins’ red card,https://www.theguardian.com/sport/2020/jan/05/northampton-saints-wasps-chris-boyd-tom-collins
SMH,2020/01/07,Novak Djokovic gives Serbian fans a Christmas present with thrilling win,https://www.smh.com.au/sport/novak-djokovic-gives-serbian-fans-a-christmas-present-with-thrilling-win-20200106-p53pd0.html?ref=rss&utm_medium=rss&utm_source=rss_sport
SMH,2020/01/07,Talented rivals bound for bigger things after Kembla clash,https://www.smh.com.au/sport/racing/talented-rivals-bound-for-bigger-things-after-kembla-clash-20200106-p53p9f.html?ref=rss&utm_medium=rss&utm_source=rss_sport
