Source,Scraped,Headline,Link
Daily Mirror,2020-01-10,On arresting  Ranjan Ramanayake…,http://www.dailymirror.lk/opinion/On-arresting-Ranjan-Ramanayake/172-181030
Daily Mirror,2020-01-10,Iran conflict: Why Trump is  a danger to the world,http://www.dailymirror.lk/opinion/Iran-conflict-Why-Trump-is-a-danger-to-the-world/172-181028
Daily Mirror,2020-01-10,Cattle Killer,http://www.dailymirror.lk/news-features/Cattle-Killer/131-180948
Daily Mirror,2020-01-10,Calling for stricter protection to Save Leopards,http://www.dailymirror.lk/news-features/Calling-for-stricter-protection-to-Save-Leopards/131-180953
Daily Mirror,2020-01-10,I am a political animal - Maithri,http://www.dailymirror.lk/hard-talk/I-am-a-political-animal-Maithri/334-180936
Daily Mirror,2020-01-10,Becoming Shareholders of a new Sri Lanka,http://www.dailymirror.lk/opinion/Becoming-Shareholders-of-a-new-Sri-Lanka/172-180943
Daily Mirror,2020-01-10,Understanding  an apolitical president,http://www.dailymirror.lk/opinion/Understanding-an-apolitical-president/172-180937
Colombo Telegraph,2020-01-10,Fools Rush In Where Angels Fear To Tread: Ranjan’s Telephone Conversation Fiasco,https://www.colombotelegraph.com/index.php/fools-rush-in-where-angels-fear-to-tread-ranjans-telephone-conversation-fiasco/
The Island,2020-01-10,National Anthem in Sinhala and Tamil,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216815
The Island,2020-01-10,Our School Toilets,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216813
The Island,2020-01-10,Ranjan's audio clips have rocked the country,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216814
Daily FT,2020-01-11,Ranjan’s whirlpool and National Anthem,http://www.ft.lk/columns/Ranjan-s-whirlpool-and-National-Anthem/4-693377
Daily FT,2020-01-11,"Battle of Stalingrad, the turning point of World War II",http://www.ft.lk/columns/Battle-of-Stalingrad-the-turning-point-of-World-War-II/4-693393
Daily Mirror,2020-01-11,Tamils want to sing national anthem in their mother tongue,http://www.dailymirror.lk/opinion/Tamils-want-to-sing-national-anthem-in-their-mother-tongue/172-181083
Daily Mirror,2020-01-11,Bête-noire of Sri Lanka’s economy,http://www.dailymirror.lk/opinion/Bête-noire-of-Sri-Lankas-economy/172-181080
Daily Mirror,2020-01-11,Never again another Holocaust,http://www.dailymirror.lk/opinion/Never-again-another-Holocaust/172-181079
Colombo Telegraph,2020-01-11,Gota’s Policy Statement & The National Question,https://www.colombotelegraph.com/index.php/gotas-policy-statement-the-national-question/
