Source,Scraped,Headline,Link
The Island,2020-01-08,BOC sponsors historic Kelaniya Duruthu Perehara,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216671
The Island,2020-01-08,CNN Business Traveller showcasing Sri Lanka among its global  audience,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216673
The Island,2020-01-08,IPS calls for Research Proposals for Saman Kelegama Memorial  Research Grant,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216675
The Island,2020-01-08,Ceylinco Healthcare launches 3D Posture Scans with AI to  identify posture-related problems,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216677
The Island,2020-01-08,"OPPO Vivo and Xiaomi partner to bring smoother, effortless  cross-brand file sharing",http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216679
Daily FT,2020-01-08,Lankatiles collaborates with Chinese company and American counterpart to export mosaic tiles to USA,http://www.ft.lk/business/Lankatiles-collaborates-with-Chinese-company-and-American-counterpart-to-export-mosaic-tiles-to-USA/34-693252
Daily FT,2020-01-08,Kumarasinghe Sirisena resigns as SLT Chairman,http://www.ft.lk/business/Kumarasinghe-Sirisena-resigns-as-SLT-Chairman/34-693253
Daily FT,2020-01-08,New DG for National Budget Dept.,http://www.ft.lk/business/New-DG-for-National-Budget-Dept/34-693254
Daily FT,2020-01-08,Commercial High Court restrains Dharshan International from marketing ‘Patchouli’ trademark,http://www.ft.lk/business/Commercial-High-Court-restrains-Dharshan-International-from-marketing-Patchouli-trademark/34-693255
Daily FT,2020-01-08,Unravelling LOLC’s mega success with Ishara and Kapila,http://www.ft.lk/business/Unravelling-LOLC-s-mega-success-with-Ishara-and-Kapila/34-693259
Daily FT,2020-01-08,Industry specialist LOLC sets record straight on microfinance,http://www.ft.lk/business/Industry-specialist-LOLC-sets-record-straight-on-microfinance/34-693260
Republic Next,2020-01-09,Couldn’t provide promised relief as vote on accounts limits govt expenditure-Dinesh,https://www.republicnext.com/politics/could-not-provide-promised-relief-as-vote-on-accounts-limits-govt-expenditure-dinesh/
Republic Next,2020-01-09,Improved services at Werahera DMV since President’s surprise visit – Transport Minister,https://www.republicnext.com/economy/consumer-affairs/improved-services-at-werahera-dmv-since-presidents-surprise-visit-transport-minister/
Republic Next,2020-01-09,Transport regulator to expand into restaurants,https://www.republicnext.com/economy/transport-regulator-to-expand-into-restaurants/
The Island,2020-01-09,‘Fairfirst Insurance protects the nations K9 Force Heroes’,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216737
The Island,2020-01-09,Mercmarine Training supports seafaring careers for women with scholarships worth over Rs. 2 million for female cadets,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216741
The Island,2020-01-09,Mobitel Cash Bonanza season 5 offers bigger rewards and more  benefits,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216726
The Island,2020-01-09,Indulge in Dubai this New Year with My Emirates Pass,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216728
The Island,2020-01-09,SriLankan Airlines changes route of Colombo-London-Colombo  flights,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216738
The Island,2020-01-09,Missile attacks in Middle East dampen local share market,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216740
The Island,2020-01-09,"Performance of the insurance industry – Q3, 2019",http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216725
The Island,2020-01-09,Hayleys retains prime position in 25th edition of the LMD 100,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216727
The Island,2020-01-09,Postharvest Technology - JASTECA study tour to Thailand,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216729
Daily FT,2020-01-09,Dipped Products participates at Intersec Dubai 2020,http://www.ft.lk/business/Dipped-Products-participates-at-Intersec-Dubai-2020/34-693347
Daily FT,2020-01-09,"UL changes Colombo-London route to avoid airspace of Iran, Iraq",http://www.ft.lk/business/UL-changes-Colombo-London-route-to-avoid-airspace-of-Iran-Iraq/34-693343
Daily FT,2020-01-09,ICC Sri Lanka launches new and improved electronic Certificate of Origin website,http://www.ft.lk/business/ICC-Sri-Lanka-launches-new-and-improved-electronic-Certificate-of-Origin-website/34-693344
Daily FT,2020-01-09,Veteran technologist appointed Chairman of Ceylon Ceramic Corporation,http://www.ft.lk/business/Veteran-technologist-appointed-Chairman-of-Ceylon-Ceramic-Corporation/34-693345
Daily FT,2020-01-09,Restaurant owners want price controls for big onions and potatoes,http://www.ft.lk/business/Restaurant-owners-want-price-controls-for-big-onions-and-potatoes/34-693342
The Island,2020-01-10,Global Markets buys Rs. 22.6 billion stake in JKH; boosting  investor confidence,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216788
The Island,2020-01-10,Clarification on drinking water purchases,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216790
The Island,2020-01-10,"Asian equities jump, safe havens slip as US-Iran tensions ease",http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216779
The Island,2020-01-10,Ellanga discourse phase ii : taking technology to ellanga-based  village development,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216781
The Island,2020-01-10,New Heads appointed to Treasury Departments,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216789
The Island,2020-01-10,BOC expands its digital banking experience,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216791
The Island,2020-01-10,‘Your December expenses went overboard?’,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216782
The Island,2020-01-10,Seylan Bank ranked Number One for ‘Customer Service Excellence’,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216784
Daily FT,2020-01-10,SriLankan Airlines clarifies claims on purchases of drinking water,http://www.ft.lk/business/SriLankan-Airlines-clarifies-claims-on-purchases-of-drinking-water/34-693394
Daily FT,2020-01-10,"Joint program to develop tourism, investment, aviation services",http://www.ft.lk/business/Joint-program-to-develop-tourism-investment-aviation-services/34-693395
Daily FT,2020-01-10,Kotagala Kahata Tea concludes ‘Rasa wasana’ consumer promotion,http://www.ft.lk/business/Kotagala-Kahata-Tea-concludes-Rasa-wasana-consumer-promotion/34-693396
The Island,2020-01-11,Fitch affirms People's Insurance at 'A+(lka)'; Outlook Stable,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216824
The Island,2020-01-11,Reshan and Thejas lead Bronze and Copper Divisions,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216826
The Island,2020-01-11,DFCC Bank opens 20 branches across Sri Lanka within 30 Days,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216828
The Island,2020-01-11,Amãna Bank Self Banking Centre now in Wattala,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216830
The Island,2020-01-11,HNB Assurance opens doors of 62nd branch in Chavakachcheri,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216832
The Island,2020-01-11,Sri Lanka Insurance ‘Travel Protect’ facilitates online purchase,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216827
The Island,2020-01-11,Samsung elevates Sri Lankan Esports to the next level,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216829
The Island,2020-01-11,Bahrain Chambers to assist Sri Lanka in trade and investment,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216831
The Island,2020-01-11,"Living Right, Living Well: Nations Trust Bank American Express  unveils wellness campaign",http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216833
The Island,2020-01-13,Lankatiles targets US export market with mosaic tile  manufacturing venture,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216962
The Island,2020-01-13,Modernising business processes with Microsoft Dynamics 365,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216964
The Island,2020-01-13,CMCF and CICT launch community-driven CSR programme,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216968
The Island,2020-01-13,Stable passenger demand growth in November: IATA,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216970
The Island,2020-01-13,SLIIT to offer Liverpool John Moores University LLB (Hons)  Degree,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216963
The Island,2020-01-13,Fairfirst partners with AIESEC to provide safe travel cover for  Sri Lankan students,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216965
The Island,2020-01-13,‘harivaasi.lk’ website launched,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216967
The Island,2020-01-13,Dipped Products participates at Intersec Dubai 2020,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216969
The Island,2020-01-13,"ICC Sri Lanka launches new, improved electronic Certificate of  Origin website",http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216971
Republic Next,2020-01-14,Sri Lanka faces power cut risks by end March,https://www.republicnext.com/economy/consumer-affairs/sri-lanka-faces-power-cut-risks-by-end-march/
Republic Next,2020-01-14,President appoints commission to probe ETI sale to Blue Summit,https://www.republicnext.com/economy/president-appoints-commission-to-probe-eti-sale-to-blue-summit/
Republic Next,2020-01-14,President orders quick construction permits,https://www.republicnext.com/economy/president-orders-quick-construction-permits/
The Island,2020-01-14,Purchasing any device from Mobitel with a Seylan Credit Card  entitles to 0% instalment plans for up to 36 months,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=217004
The Island,2020-01-14,ASPI ends lower amid lackluster turnover levels,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=217006
The Island,2020-01-14,Emjay-Penguin hosts medical camps on International Day of Older  Persons,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=217008
The Island,2020-01-14,Nithyakalyani continues its social and environmental commitment,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=217010
The Island,2020-01-14,EU projects worth € 4 million launched to support human rights  and civil society in Sri Lanka,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=217003
The Island,2020-01-14,Govt to liberalise wheat flour imports,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=217005
The Island,2020-01-14,CA Sri Lanka to sign new agreement enabling strategic  dual-membership for students,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=217007
The Island,2020-01-14,Vallibel Finance to build 16-storey financial landmark,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=217009
The Island,2020-01-14,Elephant Reach Yala brings 'delightful' seasonal cheer,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=217011
Daily FT,2020-01-14,‘Born in Sri Lanka’: Country-Of-Origin Mark supports SL brands in the global market,http://www.ft.lk/business/Born-in-Sri-Lanka-Country-Of-Origin-Mark-supports-SL-brands-in-the-global-market/34-693514
Daily FT,2020-01-14,Advocata calls for entrepreneurship stories,http://www.ft.lk/business/Advocata-calls-for-entrepreneurship-stories/34-693534
Daily FT,2020-01-14,New Commissioner General appointed to Excise Dept.,http://www.ft.lk/business/New-Commissioner-General-appointed-to-Excise-Dept/34-693535
Daily FT,2020-01-14,Five Sri Lankan companies to participate at Ambiente 2020,http://www.ft.lk/business/Five-Sri-Lankan-companiestoparticipate-at-Ambiente-2020/34-693536
