Source,Scraped,Headline,Link
Daily FT,2020-11-18,Govt. to introduce arbitration to resolve trade union disputes,http://www.ft.lk/news/Govt-to-introduce-arbitration-to-resolve-trade-union-disputes/56-709053
Daily FT,2020-11-18,Future foreign financing to be sourced in line with development priorities: PM,http://www.ft.lk/news/Future-foreign-financing-to-be-sourced-in-line-with-development-priorities-PM/56-709052
Daily FT,2020-11-18,Technical Notes of Budget 2021,http://www.ft.lk/news/Technical-Notes-of-Budget-2021/56-709047
Daily FT,2020-11-18,Pathfinder Foundation successfully concludes Indian Ocean Security Conference,http://www.ft.lk/news/Pathfinder-Foundation-successfully-concludes-Indian-Ocean-Security-Conference/56-709046
Daily FT,2020-11-18,PM presents ‘development budget aimed at economic revival and poverty reduction’,http://www.ft.lk/news/PM-presents-development-budget-aimed-at-economic-revival-and-poverty-reduction/56-709037
Daily Mirror,2020-11-19,Assistance of private hospitals in Colombo not required yet for treatment,http://www.dailymirror.lk/print/front_page/Assistance-of-private-hospitals-in-Colombo-not-required-yet-for-treatment/238-200097
Daily Mirror,2020-11-19,No necessity of locking down entire Colombo district as of now - Army Chief,http://www.dailymirror.lk/print/front_page/No-necessity-of-locking-down-entire-Colombo-district-as-of-now-Army-Chief/238-200098
Daily Mirror,2020-11-19,Gayle withdraws from LPL?,http://www.dailymirror.lk/sports/Gayle-withdraws-from-LPL/322-200133
Daily Mirror,2020-11-19,England to host Sri Lanka in packed summer of 2021,http://www.dailymirror.lk/sports/England-to-host-Sri-Lanka-in-packed-summer-of-2021/322-200127
Daily Mirror,2020-11-19,England to visit Pakistan for first time in 16 years in 2021 for two T20 matches,http://www.dailymirror.lk/sports/England-to-visit-Pakistan-for-first-time-in-16-years-in-2021-for-two-T20-matches/322-200123
Daily Mirror,2020-11-19,"Afridi’s arrival for LPL delayed; Vaas, Ali pull out of Kings' coaching roles",http://www.dailymirror.lk/sports/Afridis-arrival-for-LPL-delayed-Vaas-Ali-pull-out-of-Kings-coaching-roles/322-200117
The Island,2020-11-19,Prez vows to clean up public sector,http://island.lk/prez-vows-to-clean-up-public-sector/
The Island,2020-11-19,Kiriella flays govt. over using Bogambara as a quarantine facility,http://island.lk/kiriella-flays-govt-over-using-bogambara-as-a-quarantine-facility/
The Island,2020-11-19,Maithri receives accolades for gazette increasing extent of Sinharaja,http://island.lk/maithri-receives-accolades-for-gazette-increasing-extent-of-sinharaja/
The Island,2020-11-19,SLCFA requests new Chinese ambassador to adhere to Zhou Enlai’s Eight Principles for Economic Aid and Technical Assistance in Sri Lanka,http://island.lk/slcfa-requests-new-chinese-ambassador-to-adhere-to-zhou-enlais-eight-principles-for-economic-aid-and-technical-assistance-in-sri-lanka/
The Island,2020-11-19,Health Minister urges people to learn to live  with coronavirus for next three and a half years,http://island.lk/health-minister-urges-people-to-learn-to-live-with-coronavirus-for-next-three-and-a-half-years/
The Island,2020-11-19,SJB appeals to Speaker to allow ACMC Leader Bathiudeen to attend Parliament,http://island.lk/sjb-appeals-to-speaker-to-allow-acmc-leader-bathiudeen-to-attend-parliament/
The Island,2020-11-19,New Air Force Commander makes courtesy call on Cardinal,http://island.lk/new-air-force-commander-makes-courtesy-call-on-cardinal/
The Island,2020-11-19,State funeral of Mahanayake of Ramanna Nikaya on Sunday afternoon,http://island.lk/state-funeral-of-mahanayake-of-ramanna-nikaya-on-sunday-afternoon/
The Island,2020-11-19,COVID-19 exacerbates inequalities in education,http://island.lk/covid-19-exacerbates-inequalities-in-education/
The Island,2020-11-19,Covid probe: CID receives instructions from AG,http://island.lk/covid-probe-cid-receives-instructions-from-ag/
Economy Next,2020-11-19,President pledges to deal with the second Corona wave in national address,https://economynext.com/president-pledges-to-deal-with-the-second-corona-wave-in-national-address-76130/
Daily FT,2020-11-19,"Dual COVID-19 cluster expands to 14,893 cases ",http://www.ft.lk/news/Dual-COVID-19-cluster-expands-to-14-893-cases/56-709105
Daily FT,2020-11-19,Three COVID-19 deaths bring total to 69,http://www.ft.lk/news/Three-COVID-19-deaths-bring-total-to-69/56-709104
Daily FT,2020-11-19,‘A special day’: End of Pfizer trial paves way for a COVID shot this year,http://www.ft.lk/news/A-special-day-End-of-Pfizer-trial-paves-way-for-a-COVID-shot-this-year/56-709103
Daily FT,2020-11-19,Pavithra: Dr. Jasingha to return to COVID-19 meetings,http://www.ft.lk/news/Pavithra-Dr-Jasingha-to-return-to-COVID-19-meetings/56-709102
Daily FT,2020-11-19,"President outlines year in office, challenges ahead",http://www.ft.lk/news/President-outlines-year-in-office-challenges-ahead/56-709099
Daily Mirror,2020-11-20,Hambantota gets US $ 300mn tyre manufacturing plant,http://www.dailymirror.lk/business_247/Hambantota-gets-US-300mn-tyre-manufacturing-plant/395-200209
Daily Mirror,2020-11-20,SL import ban irks EU,http://www.dailymirror.lk/business/SL-import-ban-irks-EU/215-200198
Daily Mirror,2020-11-20,President in his address to the nation says COVID-19 can be contained if all act as responsible citizens,http://www.dailymirror.lk/print/front_page/President-in-his-address-to-the-nation-says-COVID-19-can-be-contained-if-all-act-as-responsible-citi/238-200162
Daily Mirror,2020-11-20,Motor Showroom Accident SSP’s daughter released on personal bail,http://www.dailymirror.lk/print/front_page/Motor-Showroom-Accident-SSPs-daughter-released-on-personal-bail/238-200172
